IDENTIFIER             	r
OPERATOR               	=
NUMBER                 	16
IDENTIFIER             	a
OPERATOR               	=
NUMBER                 	1
IDENTIFIER             	x
OPERATOR               	+
IDENTIFIER             	y
OPERATOR               	=
NUMBER                 	5
IF                     	if
IDENTIFIER             	x
OPERATOR               	>
NUMBER                 	10
OPERATOR               	:
KEYWORD                	print
PARENTHESIS            	(
OPERATOR               	"
IDENTIFIER             	x
IDENTIFIER             	is
IDENTIFIER             	greater
IDENTIFIER             	than
NUMBER                 	10
OPERATOR               	"
PARENTHESIS            	)
FOR                    	for
IDENTIFIER             	i
KEYWORD                	in
KEYWORD                	range
PARENTHESIS            	(
NUMBER                 	5
PARENTHESIS            	)
OPERATOR               	:
KEYWORD                	print
PARENTHESIS            	(
IDENTIFIER             	i
PARENTHESIS            	)
